380,75.268
385,77.05
390,77.194
395,76.892
400,77.888
405,76.836
410,77.023
415,78.046
420,78.559
425,78.586
430,78.498
435,78.94
440,78.128
445,78.482
450,78.853
455,78.881
460,78.959
465,78.723
470,78.699
475,78.475
480,78.42
485,78.329
490,78.301
495,78.524
500,78.496
505,78.627
510,78.947
515,78.727
520,78.841
525,78.822
530,78.868
535,79.13
540,79.221
545,79.288
550,79.339
555,79.35
560,79.278
565,79.21
570,79.075
575,78.973
580,79.038
585,79.149
590,79.217
595,79.172
600,79.151
605,79.342
610,79.413
615,79.604
620,79.77
625,79.987
630,79.949
635,80.002
640,80.074
645,80.21
650,80.78
655,80.653
660,81.093
665,81.115
670,81.233
675,81.713
680,81.955
685,82.419
690,82.604
695,82.927
700,83.14
705,83.782
710,83.754
715,83.851
720,84.39
725,84.189
730,84.671
735,84.415
740,84.478
745,85.141
750,84.951
